id,address_number,street,common_name,scientific_name,height,width,growth_space_length,growth_space_width,growth_space_type,diameter_base_height,stems,overhead_utilities,land_use,condition,stormwater_benefits_dollar_value,stormwater_benefits_runoff_elim,property_value_benefits_dollarvalue,property_value_benefits_leaf_surface_area,energy_benefits_electricity_dollar_value,energy_benefits_gas_dollar_value,air_quality_benfits_o3dep_dollar_value,air_quality_benfits_o3dep_lbs,air_quality_benfits_vocavd_dollar_value,air_quality_benfits_vocavd_lbs,air_quality_benfits_no2dep_dollar_value,air_quality_benfits_no2dep_lbs,air_quality_benfits_no2avd_dollar_value,air_quality_benfits_no2avd_lbs,air_quality_benfits_so2dep_dollar_value,air_quality_benfits_so2dep_lbs,air_quality_benfits_so2avd_dollar_value,air_quality_benfits_so2avd_lbs,air_quality_benfits_pm10depdollar_value,air_quality_benfits_pm10dep_lbs,air_quality_benfits_pm10avd_dollar_value,air_quality_benfits_pm10avd_lbs,air_quality_benfits_total_dollar_value,air_quality_benfits_total_lbs,co2_benefits_dollar_value,co2_benefits_sequestered_lbs,co2_benefits_sequestered_value,co2_benefits_avoided_lbs,co2_benefits_avoided_value,co2_benefits_decomp_lbs,co2_benefits_maint_lbs,co2_benefits_totalco2_lbs,overall_benefits_dollar_value,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
754166088,7428,MONTICELLO ST,Stump,Stump,0,0,10,2,Well or Pit,16,1,Yes,Vacant,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Homewood North,9,13,42003130200,2,13,5,17-Mar,40.45816863,-79.88972391
1946899269,220,BALVER AVE,Linden: Littleleaf,Tilia cordata,0,0,99,99,Open or Unrestricted,22,0,No,Residential,N/A,13.94669426,1743.336782,21.98481305,36.53833347,15.77645722,61.06831881,2.360847494,0.514345859,0.072138247,0.031228678,0.992383684,0.216205596,3.702306114,0.806602639,0.274900612,0.078994429,1.407723732,0.404518314,2.185328224,0.262975719,0.461810057,0.055572811,11.45743816,2.370444044,0.944600766,115.3280753,0.847430697,277.5407926,2.039369744,-96.34547133,-13.70879615,282.8146005,125.1783223,Oakwood,2,28,42003562800,5,28,6,19-Jan,40.42926879,-80.06786821
1431517397,2822,SIDNEY ST,Maple: Red,Acer rubrum,22,6,6,3,Well or Pit,6,1,No,Commercial/Industrial,Fair,3.974858209,496.8572761,51.52909253,85.64035373,3.388820358,16.08474051,0.464026397,0.101095076,0.017643365,0.00763782,0.200391185,0.04365821,0.875966284,0.190842328,0.058724937,0.016874982,0.302735386,0.086992927,0.444639118,0.053506512,0.110526049,0.013300367,2.474652721,0.513908222,0.314951871,45.28795024,0.332775858,59.61641927,0.438061449,-6.868639496,-3.738762587,94.29696742,77.7671162,South Side Flats,3,16,42003160900,3,16,3,24-Apr,40.42679667,-79.96503491
994063598,608,SUISMON ST,Maple: Freeman,Acer x freemanii,25,10,3,3,Well or Pit,7,1,Conflicting,Residential,Fair,4.775662372,596.9577965,43.18452403,71.7718425,5.396217953,24.22092872,0.742734849,0.161815871,0.02708708,0.011726009,0.312209047,0.0680194,1.356998697,0.295642418,0.086485156,0.024852056,0.481897784,0.138476375,0.687515578,0.082733523,0.170683574,0.02053954,3.865611765,0.803805192,0.395314433,33.5649564,0.2466353,94.93073045,0.697551007,-5.776182571,-4.361889685,118.3576146,81.83825928,East Allegheny,1,23,42003563200,1,23,1,6-Jan,40.45550338,-79.99927602
1591838573,1135,N NEGLEY AVE,Maple: Norway,Acer platanoides,52,13,99,99,Open or Unrestricted,38,1,Yes,Residential,Good,41.22839767,5153.549709,194.1289101,322.6384886,28.57153698,94.93006902,5.872791158,1.279475198,0.138217332,0.059834343,2.5388262,0.553121176,7.274294345,1.584813583,0.730628354,0.209950676,2.95143819,0.848114422,5.275330202,0.634817112,0.856868871,0.103112981,25.63839465,5.273239491,6.04168583,1391.740774,10.2265112,582.318646,4.278877411,-137.7386561,-27.43279053,1808.887973,390.5389943,Highland Park,7,11,42003110200,2,11,5,9-Mar,40.47666673,-79.92410638
1333224197,5550,BRYANT ST,Oak: Pin,Quercus palustris,45,18,35,3,Tree Lawn or Parkway,21,1,No,Residential,Good,21.06916315,2633.645393,85.74295421,142.5031292,18.23263252,63.68635916,3.40839631,0.742570002,0.090808297,0.039310951,1.471926125,0.320681073,4.739942676,1.03266725,0.431350158,0.123951195,1.883858267,0.541338582,3.110694029,0.374331411,0.55989438,0.067375978,15.69687024,3.242226443,2.147038492,461.5812193,3.3916988,371.6006559,2.73052162,-175.1957531,-15.16022634,642.8258958,206.5750178,Highland Park,7,11,42003110200,2,11,5,9-Mar,40.47749586,-79.92456803
239290336,5503,BRYANT ST,Dogwood: Corneliancherry,Cornus mas,8,4,99,3,Tree Lawn or Parkway,2,1,Yes,Residential,Good,0.57006618,71.25827248,8.991321523,14.94340222,0.782312894,4.241050804,0.128144016,0.027918086,0.005161415,0.002234379,0.055397064,0.012069077,0.250910334,0.054664561,0.015942275,0.004581113,0.081039166,0.023287117,0.115107447,0.013851678,0.030378389,0.003655642,0.682080106,0.142261654,0.08075892,10.47124353,0.076942697,15.94437799,0.117159289,-0.792473196,-1.44383108,24.17931724,15.34759043,Highland Park,7,11,42003110200,2,11,5,9-Mar,40.47840283,-79.92598467
1233652274,1207,KING AVE,Maple: Norway,Acer platanoides,27,10,30,3,Tree Lawn or Parkway,13,1,No,Residential,Good,8.260700892,1032.587611,46.97065112,78.06431239,10.95028692,39.88387492,1.6587632,0.361386318,0.055909237,0.024203133,0.71708858,0.156228449,2.898258643,0.631428898,0.20636515,0.05930033,1.131646592,0.325185802,1.490011031,0.179303373,0.343152005,0.041293863,8.501194437,1.778330167,1.221077001,210.8953341,1.549658915,223.1786221,1.639916515,-59.09713788,-9.384902023,365.5919163,115.7877853,Highland Park,7,11,42003110200,2,11,5,9-Mar,40.47840377,-79.92612638
1477030894,1201,KING AVE,Maple: Norway,Acer platanoides,35,12,3,3,Well or Pit,18,1,No,Residential,Good,13.38984522,1673.730653,69.90914086,116.187638,15.02490031,54.86746541,2.510128167,0.546868882,0.07683285,0.033260974,1.085136349,0.236413148,3.981202191,0.867364312,0.312282654,0.089736395,1.552753166,0.446193439,2.254763463,0.271331343,0.471440649,0.056731727,12.24453949,2.547900219,2.009496369,364.0692918,2.675181156,306.2236242,2.250131191,-55.65281682,-12.99447972,601.6456195,167.4453877,Highland Park,7,11,42003110200,2,11,5,9-Mar,40.4783138,-79.92616099
1484901843,1456,WOODBINE ST,Maple: Norway,Acer platanoides,,,,,Open or Unrestricted,,1,No,Residential,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stanton Heights,7,10,42003101800,2,10,5,7-Mar,40.48523963,-79.93638956
